"rank","views","likes","shares","comments","date","url","caption","transcript_chars"
"29","130500","1260","702","63","2024-11-19","https://www.tiktok.com/@bssuame_bmc/video/7437698980173188370","Phải làm gì khi con bị ọc sữa #bssuame #bssuameanhthy #ocsua","1040"
"30","130400","915","128","103","2024-03-30","https://www.tiktok.com/@bssuame_bmc/video/7350176979511004434","Phối Hợp Sữa Mẹ Và Sữa Công Thức #bssuame #bssuameanhthy #suame","1290"
"31","127400","844","1108","107","2024-11-28","https://www.tiktok.com/@bssuame_bmc/video/7441470252921212176","Dính thắng môi trên có cần thiết cắt không ? #bssuame #bssuameanhthy #dinhthangmoi","1632"
"32","123800","1617","185","189","2023-06-24","https://www.tiktok.com/@bssuame_bmc/video/7248079057294871813","KHI NÀO HÚT SỮA LỊCH L3 ? #bssuame #bssuameanhthy #kichsua ","832"
"33","123500","1768","211","124","2023-06-17","https://www.tiktok.com/@bssuame_bmc/video/7245523313219357957","CÓ CẦN VÕI LƯNG Ợ HƠI SAU MỖI CỮ BÚ CỦA BÉ ? #vuthilanhuong #bssuame #bssuamelanhuong ","701"
"34","121000","1156","227","104","2023-06-22","https://www.tiktok.com/@bssuame_bmc/video/7246304906326347009","HƯỚNG DẪN CHI TIẾT CHO BÉ BÚ NẰM #bssuame #bssuameanhthy #bunam","788"
"35","120100","2145","593","210","2023-06-12","https://www.tiktok.com/@bssuame_bmc/video/7243306033047670024","KHÓC LÀ ĐÓI ? #bssuame #vuthilanhuong #bssuamelanhuong","2859"
"36","114100","2492","694","236","2023-07-22","https://www.tiktok.com/@bssuame_bmc/video/7258457211242925317","BÍ QUYẾT GIÚP BÉ KHÔNG BÚ VẶT #bssuame #bssuameanhthy #tivat #buvat ","1955"
"37","104900","1004","219","74","2023-05-27","https://www.tiktok.com/@bssuame_bmc/video/7237812454187650309","PHÂN BIỆT CƯƠNG SỮA SINH LÝ VÀ TẮC TIA #bssuameanhthy #cuongsuasinhly #tactiasua ","1975"
"38","103100","1016","237","36","2023-06-05","https://www.tiktok.com/@bssuame_bmc/video/7241080521499905287","CÁCH CHỈNH KHỚP NGẬM TRÊN ĐẦU T.I KHÓ #bssuame #bssuameanhthy #khopngamdung","1576"
"39","103000","2057","578","221","2023-10-04","https://www.tiktok.com/@bssuame_bmc/video/7285921304551689473","BÉ KHÔNG CHỊU NGỦ #bssuame #bssuameanhthy #giacngucuabe ","1918"
