rank,id,view_count,like_count,comment_count,repost_count,duration_s,upload_date,url,title,transcript_chars
41,7596941354878405908,128500,2139,170,570,54,2026-01-19,https://www.tiktok.com/@duocsyngacoi/video/7596941354878405908,Có nên tiêm tách 6in1  Phế cầu và rota không???,933
42,7612496424282033428,125700,1987,73,298,163,2026-03-02,https://www.tiktok.com/@duocsyngacoi/video/7612496424282033428,Trả lời @Mẹ bé Dâu🍓 Mẹ nào có con nhỏ Thì nhất định phải phân biệt Đư...,2751
43,7629165282443021588,122900,649,40,60,261,2026-04-16,https://www.tiktok.com/@duocsyngacoi/video/7629165282443021588,Trả lời @iam.hoai Sai lầm khi rửa mũi cho con Khiến càng rửa thì càng...,4683
44,7612110051813117205,119900,2934,43,565,484,2026-03-01,https://www.tiktok.com/@duocsyngacoi/video/7612110051813117205,Kiến thức sơ cứu cơ bản  Mẹ nào cũng phải biết  Sơ cứu khi em bé  nuố...,8132
45,7617791983876148500,118600,2123,103,838,112,2026-03-16,https://www.tiktok.com/@duocsyngacoi/video/7617791983876148500,Chỉnh méo đầu cho em bé Một cách đơn giản tại nhà #dsinga #landaulamm...,1618
46,7629702611452677397,118200,482,33,23,128,2026-04-17,https://www.tiktok.com/@duocsyngacoi/video/7629702611452677397,Tôi đã bị giảm hẳn sữa Hai trái đào mềm oặt Vì lý do này …#suame #dsi...,2049
47,7614691367368871189,117700,1790,133,2299,33,2026-03-08,https://www.tiktok.com/@duocsyngacoi/video/7614691367368871189,Buổi sáng em bé tự nằm chơi rất ngoan thì cứ kệ bé nhé,562
48,7614739611771866389,117100,1353,219,123,64,2026-03-08,https://www.tiktok.com/@duocsyngacoi/video/7614739611771866389,Hậu quả của việc uống men kẽm và sắt ….#dsinga #mebimthongthai #kinhn...,721
49,7614147845154688276,114200,1847,41,277,138,2026-03-06,https://www.tiktok.com/@duocsyngacoi/video/7614147845154688276,"Mẹ nào có con gái Nhất định phải biết Vệ sinh bím , cô bé  cho các em...",2449
50,7617795514880347412,111800,916,163,101,161,2026-03-16,https://www.tiktok.com/@duocsyngacoi/video/7617795514880347412,Nếu như đã làm mọi cách Mà em bé phấn đi phân lỏng Đi nhiều lần trong...,2670
51,7626598266255183125,110100,2277,91,773,352,2026-04-09,https://www.tiktok.com/@duocsyngacoi/video/7626598266255183125,Ước gì mà tôi biết được  Điều này sớm hơn  Để không phải tiếc hùi hụi...,5626
52,7617049819634289941,108900,1604,107,195,180,2026-03-14,https://www.tiktok.com/@duocsyngacoi/video/7617049819634289941,Đừng uống trà gạo lứt  lợi sữa nữa…#dsinga #landaulamme #mebim #kinhn...,2864
53,7613644032048418069,108000,2419,154,1135,86,2026-03-05,https://www.tiktok.com/@duocsyngacoi/video/7613644032048418069,Cách ru con ngủ quốc dân  Dành cho mấy thánh chuyên gắt ngủ Gào mồm t...,679
54,7615109393209642261,106100,1768,130,228,159,2026-03-09,https://www.tiktok.com/@duocsyngacoi/video/7615109393209642261,Cho con tí sữa ct Mẹ nhất định phải biết Năm dấu hiệu em bé  không hợ...,2616
55,7613976935965740309,106100,1674,92,253,271,2026-03-06,https://www.tiktok.com/@duocsyngacoi/video/7613976935965740309,"Bà ơi, tui chia sẻ chút kinh nghiệm về bất dung nạp Lactose ở trẻ nhỏ...",4772
